Country/territory of asylum,Camps,Centres,Individual accommodation (private),Settlement,Undefined/ unknown,Total
Nepal,54944,0,273,0,17437,72654
Netherlands,0,0,0,0,74598,74598
New Zealand,0,0,0,0,1934,1934
Nicaragua,0,0,86,0,0,86
Niger,0,0,302,0,0,302
Nigeria,3126,0,3714,1966,0,8806
Norway,0,0,0,0,40691,40691
Occupied Palestinian Territory,0,0,0,0,0,0
Oman,0,0,83,0,0,83
Pakistan,631554,0,1071146,0,0,1702700
Palau,0,0,1,0,0,1
Panama,0,0,17262,0,0,17262
Papua New Guinea,2366,0,2444,4567,0,9377
Paraguay,0,0,124,0,0,124
Peru,0,0,1144,0,0,1144
Philippines,0,0,125,0,0,125
Poland,0,0,0,0,15847,15847
Portugal,0,0,0,0,408,408
Qatar,0,0,80,0,0,80
Rep. of Korea,0,0,401,0,0,401
Rep. of Moldova,0,0,146,0,0,146
Romania,0,0,0,0,1005,1005
Russian Federation,0,0,80,0,3834,3914
Rwanda,53518,0,1807,0,0,55325
Saint Kitts and Nevis,0,0,0,0,0,0
Saint Lucia,0,0,2,0,0,2
Saint Maarten,0,0,3,0,0,3
Saint Vincent and the Grenadines,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0
Saudi Arabia,0,2,597,0,0,599
Senegal,0,0,20644,0,0,20644
Serbia (and Kosovo: S/RES/1244 (1999)),0,80,77,0,70550,70707
Sierra Leone,0,0,4401,3691,0,8092
Singapore,0,0,3,0,0,3
Slovakia,0,0,436,0,110,546
Slovenia2,0,0,0,0,142,142
Somalia,0,0,2099,0,0,2099
South Africa,0,0,0,0,57899,57899
South Sudan,75861,0,0,0,29162,105023
Spain,0,0,0,0,4228,4228
Sri Lanka,0,54,134,0,0,188
Sudan,78742,0,34692,25976,5,139415
Suriname,0,0,0,0,0,0
Swaziland,0,0,0,0,759,759
Sweden,0,0,0,0,86615,86615
Switzerland,0,0,0,0,50416,50416
Syrian Arab Rep.3,179,0,755266,0,0,755445
Tajikistan,0,0,3323,0,0,3323
Thailand,88011,0,1242,0,0,89253
The former Yugoslav Republic of Macedonia,0,0,1130,0,0,1130
Timor-Leste,0,0,0,0,0,0
Togo,2779,0,2829,0,13662,19270
Tonga,0,0,2,0,0,2
Trinidad and Tobago,0,0,22,0,0,22
Tunisia,4004,0,93,0,0,4097
Turkey,24,0,14441,0,0,14465
Turkmenistan,0,0,59,0,0,59
Uganda,0,0,23945,115503,0,139448
Ukraine,0,0,217,0,2959,3176
United Arab Emirates,0,0,677,0,0,677
United Kingdom,0,0,0,0,193510,193510
United Rep. of Tanzania,100771,0,22227,8245,0,131243
United States of America,0,0,0,0,264763,264763
Uruguay,0,0,174,0,0,174
Uzbekistan,0,0,214,0,0,214
Vanuatu,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),0,0,202022,0,0,202022
Viet Nam,990,0,0,0,0,990
Yemen,16904,0,197836,0,0,214740
Zambia,0,0,4407,41225,0,45632
Zimbabwe,3526,0,1006,0,29,4561
